Participant,Illusion_Type,Illusion_Difference,Illusion_Strength,File,Block,Trial,ISI,RT,Response,Response_Correct,Error
bsvxfugrwp,MullerLyer,-0.30447,21.0,MullerLyer_21.0000_-0.30447.png,A,43.0,616088.0,1.522,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.08716,-3.0,MullerLyer_-3.0000_0.08716.png,A,44.0,618536.0,0.691,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.30447,-15.0,MullerLyer_-15.000_0.30447.png,A,45.0,620282.0,0.497,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,-9.0,MullerLyer_-9.0000_0.45000.png,A,46.0,621866.0,0.529,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.45,-9.0,MullerLyer_-9.0000_-0.4500.png,A,47.0,623055.0,0.701,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.45,3.0,MullerLyer_3.00000_-0.4500.png,A,48.0,624807.0,0.724,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,3.0,MullerLyer_3.00000_0.18509.png,A,49.0,626601.0,2.081,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,3.0,MullerLyer_3.00000_-0.18509.png,A,50.0,629335.0,0.605,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,-9.0,MullerLyer_-9.0000_0.30447.png,A,51.0,631015.0,0.724,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,-21.0,MullerLyer_-21.000_0.18509.png,A,52.0,632796.0,0.49,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.30447,-15.0,MullerLyer_-15.000_-0.30447.png,A,53.0,633925.0,0.662,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,9.0,MullerLyer_9.00000_-0.18509.png,A,54.0,635563.0,2.472,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.08716,-27.0,MullerLyer_-27.000_-0.08716.png,A,55.0,638690.0,0.754,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,15.0,MullerLyer_15.0000_-0.18509.png,A,56.0,640249.0,2.425,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,0.30447,9.0,MullerLyer_9.00000_0.30447.png,A,57.0,643326.0,0.551,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,-3.0,MullerLyer_-3.0000_0.18509.png,A,58.0,644879.0,0.528,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,27.0,MullerLyer_27.0000_-0.18509.png,A,59.0,646523.0,1.13,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.45,-15.0,MullerLyer_-15.000_-0.4500.png,A,60.0,648636.0,0.666,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,3.0,MullerLyer_3.00000_0.30447.png,A,61.0,650289.0,0.673,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.18509,15.0,MullerLyer_15.0000_0.18509.png,A,62.0,651636.0,1.196,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,-3.0,MullerLyer_-3.0000_0.45000.png,A,63.0,653553.0,0.728,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.30447,-27.0,MullerLyer_-27.000_-0.30447.png,A,64.0,655268.0,0.75,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.08716,21.0,MullerLyer_21.0000_-0.08716.png,A,65.0,656864.0,0.638,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,-0.30447,9.0,MullerLyer_9.00000_-0.30447.png,A,66.0,658493.0,0.66,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.45,21.0,MullerLyer_21.0000_0.45000.png,A,67.0,659881.0,0.647,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.30447,-27.0,MullerLyer_-27.000_0.30447.png,A,68.0,661530.0,0.519,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.18509,-15.0,MullerLyer_-15.000_-0.18509.png,A,69.0,663013.0,0.739,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,-0.18509,-27.0,MullerLyer_-27.000_-0.18509.png,A,70.0,664576.0,0.6,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.18509,21.0,MullerLyer_21.0000_0.18509.png,A,71.0,666136.0,0.895,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,0.08716,-15.0,MullerLyer_-15.000_0.08716.png,A,72.0,667711.0,0.699,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.30447,15.0,MullerLyer_15.0000_0.30447.png,A,73.0,669180.0,0.32,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.45,-15.0,MullerLyer_-15.000_0.45000.png,A,74.0,670335.0,0.451,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,0.08716,9.0,MullerLyer_9.00000_0.08716.png,A,75.0,671514.0,0.875,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,0.30447,27.0,MullerLyer_27.0000_0.30447.png,A,76.0,673445.0,0.853,arrowdown,arrowup,1
bsvxfugrwp,MullerLyer,-0.08716,15.0,MullerLyer_15.0000_-0.08716.png,A,77.0,675245.0,0.72,arrowup,arrowdown,1
bsvxfugrwp,MullerLyer,0.18509,-9.0,MullerLyer_-9.0000_0.18509.png,A,78.0,676639.0,0.527,arrowup,arrowup,0
bsvxfugrwp,MullerLyer,-0.08716,-9.0,MullerLyer_-9.0000_-0.08716.png,A,79.0,677859.0,0.594,arrowdown,arrowdown,0
bsvxfugrwp,MullerLyer,0.30447,21.0,MullerLyer_21.0000_0.30447.png,A,80.0,679546.0,1.396,arrowup,arrowup,0
bsvxfugrwp,Ebbinghaus,0.5,-0.45,Ebbinghaus_-0.4500_0.50000.png,A,1.0,697935.0,1.044,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.5,1.05,Ebbinghaus_1.05000_0.50000.png,A,2.0,699665.0,1.348,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.3383,-0.15,Ebbinghaus_-0.1500_0.33830.png,A,3.0,701688.0,1.514,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,0.45,Ebbinghaus_0.45000_-0.3383.png,A,4.0,704031.0,0.751,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.20566,-1.35,Ebbinghaus_-1.3500_-0.20566.png,A,5.0,705745.0,0.738,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.20566,-0.15,Ebbinghaus_-0.1500_0.20566.png,A,6.0,707572.0,1.918,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,1.05,Ebbinghaus_1.05000_-0.09684.png,A,7.0,710507.0,1.763,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,0.09684,-0.15,Ebbinghaus_-0.1500_0.09684.png,A,8.0,713283.0,1.858,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,-0.15,Ebbinghaus_-0.1500_-0.3383.png,A,9.0,715786.0,0.759,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.5,0.45,Ebbinghaus_0.45000_-0.5000.png,A,10.0,717630.0,0.575,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.5,1.35,Ebbinghaus_1.35000_0.50000.png,A,11.0,719205.0,1.52,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.20566,-0.75,Ebbinghaus_-0.7500_-0.20566.png,A,12.0,721364.0,1.033,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.3383,0.75,Ebbinghaus_0.75000_0.33830.png,A,13.0,723223.0,1.671,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.3383,-0.45,Ebbinghaus_-0.4500_0.33830.png,A,14.0,725781.0,0.998,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.20566,-0.15,Ebbinghaus_-0.1500_-0.20566.png,A,15.0,727660.0,1.508,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.5,-1.05,Ebbinghaus_-1.0500_0.50000.png,A,16.0,730258.0,0.861,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,-0.45,Ebbinghaus_-0.4500_-0.3383.png,A,17.0,732140.0,0.656,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.3383,-1.35,Ebbinghaus_-1.3500_-0.3383.png,A,18.0,733791.0,0.636,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.3383,-1.35,Ebbinghaus_-1.3500_0.33830.png,A,19.0,735234.0,0.799,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.5,-0.45,Ebbinghaus_-0.4500_-0.5000.png,A,20.0,737018.0,0.669,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.3383,-0.75,Ebbinghaus_-0.7500_-0.3383.png,A,21.0,738388.0,1.188,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.09684,0.75,Ebbinghaus_0.75000_0.09684.png,A,22.0,740411.0,2.257,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,-0.20566,1.35,Ebbinghaus_1.35000_-0.20566.png,A,23.0,743435.0,1.717,arrowleft,arrowright,1
