"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"bsvxfugrwp","MullerLyer",0.45,27,"MullerLyer_27.0000_0.45000.png","A",35,602821,0.737,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",0.08716,-21,"MullerLyer_-21.000_0.08716.png","A",36,604397,0.458,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.08716,-27,"MullerLyer_-27.000_0.08716.png","A",37,605567,0.475,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.30447,-3,"MullerLyer_-3.0000_-0.30447.png","A",39,610165,0.645,"arrowdown","arrowdown",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.08716,-9,"MullerLyer_-9.0000_0.08716.png","A",40,611567,0.757,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.45,-21,"MullerLyer_-21.000_-0.4500.png","A",41,613018,0.568,"arrowdown","arrowdown",0,"Congruent",0.45,"Congruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.08716,-15,"MullerLyer_-15.000_-0.08716.png","A",42,614652,0.569,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.30447,21,"MullerLyer_21.0000_-0.30447.png","A",43,616088,1.522,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",0.08716,-3,"MullerLyer_-3.0000_0.08716.png","A",44,618536,0.691,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.30447,-15,"MullerLyer_-15.000_0.30447.png","A",45,620282,0.497,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.45,-9,"MullerLyer_-9.0000_0.45000.png","A",46,621866,0.529,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.45,-9,"MullerLyer_-9.0000_-0.4500.png","A",47,623055,0.701,"arrowdown","arrowdown",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.45,3,"MullerLyer_3.00000_-0.4500.png","A",48,624807,0.724,"arrowdown","arrowdown",0,"Incongruent",0.45,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.18509,3,"MullerLyer_3.00000_-0.18509.png","A",50,629335,0.605,"arrowdown","arrowdown",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.30447,-9,"MullerLyer_-9.0000_0.30447.png","A",51,631015,0.724,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.18509,-21,"MullerLyer_-21.000_0.18509.png","A",52,632796,0.49,"arrowup","arrowup",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.30447,-15,"MullerLyer_-15.000_-0.30447.png","A",53,633925,0.662,"arrowdown","arrowdown",0,"Congruent",0.30447,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.08716,-27,"MullerLyer_-27.000_-0.08716.png","A",55,638690,0.754,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.30447,9,"MullerLyer_9.00000_0.30447.png","A",57,643326,0.551,"arrowup","arrowup",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.18509,-3,"MullerLyer_-3.0000_0.18509.png","A",58,644879,0.528,"arrowup","arrowup",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.18509,27,"MullerLyer_27.0000_-0.18509.png","A",59,646523,1.13,"arrowup","arrowdown",1,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.45,-15,"MullerLyer_-15.000_-0.4500.png","A",60,648636,0.666,"arrowdown","arrowdown",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.30447,3,"MullerLyer_3.00000_0.30447.png","A",61,650289,0.673,"arrowup","arrowup",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.18509,15,"MullerLyer_15.0000_0.18509.png","A",62,651636,1.196,"arrowup","arrowup",0,"Incongruent",0.18509,"Incongruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.45,-3,"MullerLyer_-3.0000_0.45000.png","A",63,653553,0.728,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",-0.30447,-27,"MullerLyer_-27.000_-0.30447.png","A",64,655268,0.75,"arrowdown","arrowdown",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.08716,21,"MullerLyer_21.0000_-0.08716.png","A",65,656864,0.638,"arrowup","arrowdown",1,"Incongruent",0.08716,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",-0.30447,9,"MullerLyer_9.00000_-0.30447.png","A",66,658493,0.66,"arrowdown","arrowdown",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.45,21,"MullerLyer_21.0000_0.45000.png","A",67,659881,0.647,"arrowup","arrowup",0,"Incongruent",0.45,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",0.30447,-27,"MullerLyer_-27.000_0.30447.png","A",68,661530,0.519,"arrowup","arrowup",0,"Congruent",0.30447,"Congruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.18509,-15,"MullerLyer_-15.000_-0.18509.png","A",69,663013,0.739,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.18509,-27,"MullerLyer_-27.000_-0.18509.png","A",70,664576,0.6,"arrowdown","arrowdown",0,"Congruent",0.18509,"Congruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.18509,21,"MullerLyer_21.0000_0.18509.png","A",71,666136,0.895,"arrowdown","arrowup",1,"Incongruent",0.18509,"Incongruent - Strong","Hard"
"bsvxfugrwp","MullerLyer",0.08716,-15,"MullerLyer_-15.000_0.08716.png","A",72,667711,0.699,"arrowup","arrowup",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.30447,15,"MullerLyer_15.0000_0.30447.png","A",73,669180,0.32,"arrowup","arrowup",0,"Incongruent",0.30447,"Incongruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.45,-15,"MullerLyer_-15.000_0.45000.png","A",74,670335,0.451,"arrowup","arrowup",0,"Congruent",0.45,"Congruent - Mild","Easy"
"bsvxfugrwp","MullerLyer",0.08716,9,"MullerLyer_9.00000_0.08716.png","A",75,671514,0.875,"arrowdown","arrowup",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.30447,27,"MullerLyer_27.0000_0.30447.png","A",76,673445,0.853,"arrowdown","arrowup",1,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"bsvxfugrwp","MullerLyer",-0.08716,15,"MullerLyer_15.0000_-0.08716.png","A",77,675245,0.72,"arrowup","arrowdown",1,"Incongruent",0.08716,"Incongruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.18509,-9,"MullerLyer_-9.0000_0.18509.png","A",78,676639,0.527,"arrowup","arrowup",0,"Congruent",0.18509,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",-0.08716,-9,"MullerLyer_-9.0000_-0.08716.png","A",79,677859,0.594,"arrowdown","arrowdown",0,"Congruent",0.08716,"Congruent - Mild","Hard"
"bsvxfugrwp","MullerLyer",0.30447,21,"MullerLyer_21.0000_0.30447.png","A",80,679546,1.396,"arrowup","arrowup",0,"Incongruent",0.30447,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,-0.45,"Ebbinghaus_-0.4500_0.50000.png","A",1,697935,1.044,"arrowleft","arrowleft",0,"Congruent",0.5,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,1.05,"Ebbinghaus_1.05000_0.50000.png","A",2,699665,1.348,"arrowleft","arrowleft",0,"Incongruent",0.5,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.3383,-0.15,"Ebbinghaus_-0.1500_0.33830.png","A",3,701688,1.514,"arrowleft","arrowleft",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.3383,0.45,"Ebbinghaus_0.45000_-0.3383.png","A",4,704031,0.751,"arrowright","arrowright",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,-1.35,"Ebbinghaus_-1.3500_-0.20566.png","A",5,705745,0.738,"arrowright","arrowright",0,"Congruent",0.20566,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",-0.09684,1.05,"Ebbinghaus_1.05000_-0.09684.png","A",7,710507,1.763,"arrowleft","arrowright",1,"Incongruent",0.09684,"Incongruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.09684,-0.15,"Ebbinghaus_-0.1500_0.09684.png","A",8,713283,1.858,"arrowleft","arrowleft",0,"Congruent",0.09684,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.3383,-0.15,"Ebbinghaus_-0.1500_-0.3383.png","A",9,715786,0.759,"arrowright","arrowright",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,0.45,"Ebbinghaus_0.45000_-0.5000.png","A",10,717630,0.575,"arrowright","arrowright",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,1.35,"Ebbinghaus_1.35000_0.50000.png","A",11,719205,1.52,"arrowleft","arrowleft",0,"Incongruent",0.5,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,-0.75,"Ebbinghaus_-0.7500_-0.20566.png","A",12,721364,1.033,"arrowright","arrowright",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.3383,0.75,"Ebbinghaus_0.75000_0.33830.png","A",13,723223,1.671,"arrowleft","arrowleft",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.3383,-0.45,"Ebbinghaus_-0.4500_0.33830.png","A",14,725781,0.998,"arrowleft","arrowleft",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,-0.15,"Ebbinghaus_-0.1500_-0.20566.png","A",15,727660,1.508,"arrowright","arrowright",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.5,-1.05,"Ebbinghaus_-1.0500_0.50000.png","A",16,730258,0.861,"arrowleft","arrowleft",0,"Congruent",0.5,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.3383,-0.45,"Ebbinghaus_-0.4500_-0.3383.png","A",17,732140,0.656,"arrowright","arrowright",0,"Congruent",0.3383,"Congruent - Mild","Easy"
