"Participant","Experiment_Duration","Date","Time","Browser","Mobile","Screen_Width","Screen_Height","Language","Source","Age","Gender","Country","Nationality","PID5_Duration","PID5_Order","PID5_Disinhibition_1","PID5_Disinhibition_2","PID5_Disinhibition_3","PID5_Detachment_4","PID5_Disinhibition_5","PID5_Disinhibition_6","PID5_Psychoticism_7","PID5_NegativeAffect_8","PID5_NegativeAffect_9","PID5_NegativeAffect_10","PID5_NegativeAffect_11","PID5_Psychoticism_12","PID5_Detachment_13","PID5_Detachment_14","PID5_NegativeAffect_15","PID5_Detachment_16","PID5_Antagonism_17","PID5_Detachment_18","PID5_Antagonism_19","PID5_Antagonism_20","PID5_Psychoticism_21","PID5_Antagonism_22","PID5_Psychoticism_23","PID5_Psychoticism_24","PID5_Antagonism_25","IPIP6_Duration","IPIP6_Order","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD"
"qbb6xqvqpv",28.3012833333333,"05/10/2024","11:37:58","chrome","False",1920,953,"Russian","yana1",33,"Male","Russia","Russian",4.14955,1,2,3,2,1,1,1,1,1,1,2,2,1,0,0,1,0,2,2,2,2,2,2,0,1,2,2.66611166666746,2,0.89,0.28,0.28,0.74,1,0.7,0.21,0.65,0.29,0.3,0.6,0.63,0,0.76,0.22,0.32,0.07,0.58,0.31,0.67,0,0.68,0.85,0.23,0.805,0.325,0.6925,0.9275,0.465,0.43,0.162867628226026,1.8,0.6,1.4,2,1,0.597183311245141
"23pubcvhh0",179.636833333333,"23/09/2024","15:30:39","chrome","False",1280,639,"Russian","yana1",29,"Female","Russia","Russian",1.86008333333333,1,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0.867693333333731,2,0.59,0.66,0.26,0.4,0.62,0.67,0.69,0.38,0.68,0.69,0.82,0.75,0.37,0.64,1,0.75,0.28,0.76,0.32,0.58,0.67,0.59,0.37,0.61,0.4875,0.385,0.4675,0.475,0.3025,0.585,0.184254070779568,0.8,0.8,0.2,0.8,0.2,0.73263847181568
"by5pqkey2w",27.3273166666667,"23/09/2024","17:57:23","chrome","False",1920,919,"Russian","yana1",27,"Female","Russia","Russian",5.11541666666667,1,2,2,2,1,0,0,1,1,1,1,2,1,3,0,1,1,0,0,2,1,0,2,0,0,2,1.52156333333254,2,0.83,0.95,0.67,0.69,0.83,0.91,0.91,0.18,0.23,0.94,0.49,0.75,0.13,0.95,0.92,0.14,0.74,0.88,0.21,0.51,0.33,0.13,0.28,0.73,0.4975,0.7475,0.2925,0.785,0.1825,0.8025,0.205831805624775,1.2,1,1.2,1.4,0.4,0.841910666081392
"356t3x57kk",23.2807,"23/09/2024","14:35:28","safari","False",1175,743,"Russian","yana1",31,"Female","Russia","Russian",2.77246666666667,1,2,2,2,2,1,0,0,3,2,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,1.1284,2,0.28,0.8,0.02,0.63,0.65,0.88,0.36,0.28,0.3,0.75,0.85,0.55,0.46,0.63,0.32,0.67,0.37,0.39,0.39,0.4,0.36,0.96,0.92,0.43,0.6125,0.24,0.6525,0.6325,0.4375,0.6875,0.168843795569317,1.4,1.4,1,0.4,0,0.90894174617456
"0xdqd1owou",27.1844,"18/09/2024","00:04:32","opera","False",1918,955,"Russian","yana1",30,"Female","Germany","Russian",2.93996666666667,1,0,1,1,2,0,1,0,3,2,1,1,0,0,0,2,1,0,1,2,1,0,0,0,1,0,1.41342833333413,2,0.24,0.85,0.26,0.72,0.93,1,0.25,0.16,0,0.64,0.04,0.96,0,0.68,0.24,0.83,0.25,0.65,0.2,0.27,0.09,0,0.39,0.68,0.545,0.715,0.765,0.96,0.1775,0.775,0.162783539426976,0.6,0.8,1.8,0.6,0.2,0.712536679414638
"4v5wnz20ou",26.0497833333333,"14/09/2024","22:20:47","chrome","False",1440,778,"Russian","yana1",32,"Female","Russia","Russian",2.78,2,2,2,3,0,2,2,2,3,3,3,1,3,3,0,2,2,0,3,1,0,1,0,3,3,0,2.93574166666667,1,0,0.6,0,0.99,0.99,0.76,0.5,0.22,0.71,0.32,0.13,0.64,0.05,0.72,0.01,1,0,0,0.49,0,0.42,1,0.12,0,0.2825,0.2975,0.995,0.7025,0.65,0.775,0.263947139896731,2.2,1.6,2.4,0.2,2.4,0.839971332362011
"d1p3uuu95n",21.0468333333333,"14/09/2024","20:34:29","safari","False",1470,747,"Russian","yana1",27,"Male","Georgia","Ukrainian",3.19421666666667,1,2,3,1,2,2,2,2,1,1,1,0,0,2,0,2,1,1,0,2,0,1,3,3,2,2,1.93285,2,0.25,0.69,0.06,0.82,0.9,0.5,0.48,0.36,0.64,0.7,1,0.29,0.12,0.97,0.32,0.62,0.19,0,0.32,0.57,0.37,1,0.29,0,0.435,0.19,0.7325,0.6925,0.8025,0.6825,0.226845469147278,2,1,1,1.6,1.6,0.938912882514274
"zd9alcs3qq",27.2297,"14/09/2024","13:50:34","chrome","False",1920,1073,"Russian","yana1",31,"Male","швеция","Russian",8.71221666666667,1,0,2,0,0,0,0,2,2,2,0,2,0,0,2,2,0,0,2,1,1,0,0,0,0,0,2.68342000000079,2,0.8,0.64,0.8,0.28,0.41,0.66,0.32,0.29,0.64,0.81,0.24,0.59,0.31,0.77,0.76,0.74,0.53,0.58,0.74,0.36,0.66,0.27,0.76,0.28,0.625,0.775,0.4325,0.45,0.4725,0.69,0.151299353626265,0.4,0.8,1.6,0.4,0.4,0.865289849103049
"dbbhtxx8gc",39.6000333333333,"12/09/2024","21:24:30","chrome","False",1512,863,"Russian","yana2",27,"Male","Serbia","Russian",2.25796666666667,1,2,3,3,2,2,3,1,3,1,3,2,0,0,0,2,1,0,1,3,0,1,1,0,2,0,2.01026666666667,2,0.67,0.53,0,0.12,1,0.74,0.4,0.55,0.26,0.81,0.81,0.54,0.1,0.36,0.71,0.7,0.34,1,0.65,0.46,0.12,1,0.57,1,0.5475,0.25,0.4425,0.88,0.18,0.47,0.203252416256682,2.6,0.8,2.2,0.8,0.8,0.872308623629585
"ftnc1a1ppz",22.5544,"12/08/2024","13:23:08","chrome","False",1536,730,"Russian","yana1",36,"Female","Russia","Russian",2.026,2,0,1,1,0,0,2,2,2,1,1,2,1,0,0,1,0,0,1,2,1,2,1,1,2,0,1.83549333333572,1,0.33,1,0.24,0.69,1,1,0.6,0.08,0.1,0.61,0.69,0.68,0.05,1,0.6,0.37,0.34,0.21,0.06,0.38,0.1,0.42,0.6,0.4,0.5675,0.435,0.53,0.9375,0.4275,0.885,0.200306541695851,0.8,0.2,1.4,0.8,1.6,0.643195752715688
