Participant,Experiment_Duration,Date,Time,Browser,Mobile,Screen_Width,Screen_Height,Language,Source,Age,Gender,Country,Nationality,PID5_Duration,PID5_Order,PID5_Disinhibition_1,PID5_Disinhibition_2,PID5_Disinhibition_3,PID5_Detachment_4,PID5_Disinhibition_5,PID5_Disinhibition_6,PID5_Psychoticism_7,PID5_NegativeAffect_8,PID5_NegativeAffect_9,PID5_NegativeAffect_10,PID5_NegativeAffect_11,PID5_Psychoticism_12,PID5_Detachment_13,PID5_Detachment_14,PID5_NegativeAffect_15,PID5_Detachment_16,PID5_Antagonism_17,PID5_Detachment_18,PID5_Antagonism_19,PID5_Antagonism_20,PID5_Psychoticism_21,PID5_Antagonism_22,PID5_Psychoticism_23,PID5_Psychoticism_24,PID5_Antagonism_25,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R
74hf660xh7,38.515233333333335,13/07/2024,01:16:47,chrome,False,1512.0,857.0,Russian,yana1,37,Male,Russia,Russian,5.1087,1,1,1,1,1,0,1,1,1,0,2,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,3.24285,2,0.0,0.5,0.34,0.38,0.5,0.5,0.59,0.5,0.31,0.5,0.62,0.5,0.5,0.5,0.36,0.57,0.29,1.0,0.35,0.57,0.5,0.58,0.0,0.58
1ktd5jv1x5,26.61386666666667,12/07/2024,21:47:47,chrome,False,1583.0,795.0,Russian,yana1,29,Male,Russia,Russian,3.05685,2,2,2,0,2,3,3,1,0,0,1,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,2.35125,1,0.08,0.39,0.24,0.07,0.18,0.87,0.5,0.35,0.37,0.68,0.32,0.7,0.82,0.67,0.67,0.59,0.43,0.0,1.0,0.61,0.5,0.82,0.21,0.0
qsrfmlsecm,147.09363333333334,12/07/2024,21:37:16,chrome,False,1680.0,963.0,Russian,yana1,42,Female,Israel,Jew,56.24495,1,1,1,1,0,0,0,1,0,1,1,0,2,1,0,2,1,2,1,2,2,1,1,1,2,1,2.4173166666666663,2,0.6,0.98,0.33,0.62,0.24,0.74,0.32,0.28,0.02,0.7,0.67,0.64,0.74,0.94,0.65,0.56,0.36,0.61,0.32,0.67,0.63,0.36,0.32,0.26
ovkjlmy9eb,19.233533333333334,12/07/2024,22:04:49,yandexbrowser,False,1280.0,720.0,Russian,yana1,36,Male,Georgia,Russian,2.36965,1,2,2,1,1,1,1,2,1,1,1,1,1,1,0,2,1,1,1,2,2,3,2,1,1,2,1.728248333332936,2,0.5,0.5,0.26,0.5,0.73,0.91,0.5,0.5,0.06,0.5,0.5,0.93,0.12,0.84,0.5,0.73,0.5,0.1,0.26,0.35,0.0,0.38,0.83,0.06
jquq7eja9j,19.865866666666665,12/07/2024,18:46:36,firefox,False,1536.0,739.0,Russian,yana1,26,Male,Russia,Russian,1.7325666666666666,1,1,1,2,3,0,0,2,3,3,0,2,0,1,0,3,0,1,2,3,3,2,0,0,3,0,1.6764666666666665,2,0.24,0.61,0.05,0.75,0.84,0.92,0.5,0.38,0.07,0.9,0.07,1.0,0.06,0.81,0.5,1.0,0.18,0.78,0.5,0.21,0.0,0.62,0.17,0.0
y1tqzvkvfc,24.177616666666665,12/07/2024,21:02:32,chrome,False,1280.0,958.0,Russian,yana2,35,Male,Russia,Russian,2.024766666666667,2,2,2,0,0,0,0,2,0,0,0,0,0,0,1,2,2,1,0,1,0,2,2,2,0,2,2.753225,1,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
k42v4ycx08,27.495166666666666,12/07/2024,15:16:48,firefox,False,1920.0,899.0,Russian,yana1,37,Male,Russia,Russian,1.7871333333333332,1,0,0,2,3,2,0,2,1,1,1,0,3,2,1,1,1,1,3,1,1,3,1,0,0,0,1.1234499999999998,2,0.17,0.87,0.09,0.79,0.88,0.5,0.69,0.21,0.14,0.12,0.89,0.5,0.12,0.91,0.79,0.3,0.58,0.12,0.78,0.3,0.19,0.83,0.23,0.19
u8hft466ua,26.4266,12/07/2024,15:08:39,chrome,False,1536.0,695.0,Russian,yana1,37,Female,Russia,Tatar,1.9555666666666667,1,2,1,2,1,1,2,2,2,0,2,2,1,0,1,1,2,1,1,1,0,2,0,2,1,0,1.7520983333333318,2,0.66,0.65,0.09,0.08,0.9,0.5,0.06,0.05,0.08,0.16,0.65,0.48,0.04,0.5,0.7,0.59,0.31,0.01,0.21,0.19,0.0,0.76,0.33,0.0
sou25mjzdw,31.653033333333333,11/07/2024,23:26:37,chrome,False,1920.0,1073.0,Russian,yana1,31,Male,Russia,Russian,3.090116666666667,2,0,1,1,2,3,2,3,3,3,0,3,0,2,0,1,1,0,2,0,0,3,0,2,2,0,4.907566666666667,1,0.12,0.98,0.0,0.02,0.81,0.62,0.0,0.49,0.05,0.5,0.51,0.62,0.0,0.63,0.42,0.75,0.18,0.0,0.25,0.5,0.0,0.84,0.0,0.0
qjrzelgz6k,20.806383333333333,20/06/2024,01:24:06,chrome,False,1740.0,853.0,Russian,yana1,31,Male,Georgia,Russian,1.5806833333333332,1,2,3,3,2,3,3,1,2,3,0,2,0,0,0,3,0,0,2,2,2,1,1,0,0,1,1.261553333334128,2,0.2,0.62,0.03,0.83,0.67,0.68,0.21,0.6,0.59,0.69,0.69,0.6,0.6,0.69,0.24,0.87,0.09,0.65,0.37,0.68,0.26,0.83,0.71,0.66
7w8ocdog30,25.13505,19/06/2024,20:50:01,chrome,False,2560.0,1305.0,Russian,yana1,26,Male,Germany,Russian,4.74785,2,2,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,2.4487,1,0.35,0.6,0.17,0.37,0.72,0.76,0.5,0.07,0.22,0.84,0.26,0.69,0.17,0.58,0.8,0.21,0.56,0.0,0.64,0.09,0.21,0.04,0.71,0.0
z3yqpr6gml,29.7683,19/06/2024,21:32:58,chrome,False,1875.0,967.0,Russian,yana1,35,Male,Ukraine,Ukrainian,1.9674,2,0,0,1,,0,1,2,0,0,0,1,0,2,1,0,2,2,1,2,2,2,0,0,0,0,2.765983333333333,1,0.17,0.36,0.27,0.0,0.78,0.79,0.76,0.85,0.09,0.81,0.15,0.62,0.0,0.13,1.0,0.18,0.78,0.6,0.33,0.67,0.32,0.08,0.28,0.58
